City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Ribeira Grande,PT,77.4,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
2,Hilo,US,84.27,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
9,Yellowknife,CA,68.56,broken clouds,62.456,-114.3525,The Explorer Hotel
10,Guadix,ES,82.45,clear sky,37.2993,-3.1392,Hotel YIT Abentofail
12,Thompson,CA,64.56,broken clouds,55.7435,-97.8558,Burntwood Hotel
13,Lompoc,US,84.02,few clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
18,Veliki Preslav,BG,69.51,clear sky,43.1667,26.8167,семеен хотел Преслав
20,Carnarvon,AU,66.69,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
22,San Pedro,PH,78.33,overcast clouds,14.35,121.0167,Palines Apartment and Guesthouse
26,Atuona,PF,77.25,light rain,-9.8,-139.0333,Villa Enata
27,Barrhead,GB,67.01,overcast clouds,55.7992,-4.3929,The Gleniffer
28,Kapaa,US,80.92,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
34,Bengkulu,ID,75.13,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
35,Ponta Do Sol,PT,75.72,clear sky,32.6667,-17.1,Hotel do Campo
36,Nouadhibou,MR,76.98,few clouds,20.931,-17.0347,El Medina
37,Nikolskoye,RU,67.91,few clouds,59.7035,30.7861,Tourist House - Sablino
38,Gat,IL,80.82,clear sky,31.61,34.7642,OlusHome
40,Harper,LR,74.93,broken clouds,4.375,-7.7169,Screensaver
41,Nanakuli,US,84.15,few clouds,21.3906,-158.1547,Camp Pālehua
42,Mathathane,BW,64.65,clear sky,-22.2687,28.7495,Selepswe Resort
45,Rikitea,PF,72.25,clear sky,-23.1203,-134.9692,People ThankYou
46,Chuy,UY,63.05,broken clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
49,Butaritari,KI,81.88,few clouds,3.0707,172.7902,Isles Sunset Lodge
50,Bandarbeyla,SO,76.59,scattered clouds,9.4942,50.8122,JABIR HOTEL
52,Souillac,MU,70.18,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
53,Kaabong,UG,69.33,overcast clouds,3.4836,34.1492,Madona Guest House Kaabong
54,Tura,IN,74.07,moderate rain,25.5198,90.2201,Hotel RIKMAN Continental
59,Salalah,OM,77.4,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
60,Maceio,BR,78.24,few clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
64,Biak,ID,75.07,broken clouds,-0.9131,122.8766,Penginapan Kim
66,Vila Franca Do Campo,PT,72.01,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
67,Puerto Ayora,EC,71.06,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
68,Hasaki,JP,72.28,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
71,Kropotkin,RU,65.41,broken clouds,45.4375,40.5756,Hotel Europe Kropotkin
72,Imbituba,BR,66.09,clear sky,-28.24,-48.6703,Praia Hotel Imbituba
75,Saint-Philippe,RE,69.39,light rain,-21.3585,55.7679,Le four à pain
76,Karwar,IN,77.79,overcast clouds,14.8,74.1333,Netalco Connects
79,Cabo San Lucas,MX,82.51,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
80,Isangel,VU,76.01,clear sky,-19.55,169.2667,Tanna Lodge
82,Hami,CN,84.56,clear sky,42.8,93.45,Laoyutang Resort
85,Baruun-Urt,MN,64.56,light rain,46.6806,113.2792,Ахмадын амралт сувилал
87,Matara,LK,78.31,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
88,Vila Velha,BR,78.75,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
91,Arraial Do Cabo,BR,72.46,clear sky,-22.9661,-42.0278,Pousada Porto Praia
92,Dingle,PH,77.31,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
95,Vaini,TO,69.96,scattered clouds,-21.2,-175.2,Keleti Beach Resort
99,Yangjiang,CN,80.26,clear sky,21.85,111.9667,HUALUXE Yangjiang City Center
101,Rocky Mountain House,CA,71.64,clear sky,52.3668,-114.9188,Walking Eagle Inn & Lodge
102,Torbay,CA,83.17,broken clouds,47.6666,-52.7314,Gallows Cove
109,Ust-Nera,RU,63.16,overcast clouds,64.5667,143.2,Hotel Ust-Nera
110,Hihya,EG,76.44,clear sky,30.6713,31.588,مضيفة المركز
112,Namibe,AO,63.91,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
114,Mahebourg,MU,70.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
117,Gazanjyk,TM,81.19,clear sky,39.2446,55.5154,Railway motel
118,Salinopolis,BR,81.18,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
121,Georgetown,MY,79.95,scattered clouds,5.4112,100.3354,Cititel Penang
123,Goderich,CA,75.88,few clouds,43.7501,-81.7165,Harmony Inn
124,Chabahar,IR,83.08,broken clouds,25.2919,60.643,هتل گدروشیا
128,Naze,JP,76.12,overcast clouds,28.3667,129.4833,Shishime Hotel
129,Meulaboh,ID,76.53,overcast clouds,4.1363,96.1285,Kost Pria
130,Huarmey,PE,66.33,scattered clouds,-10.0681,-78.1522,Hotel Miramar
132,Tommot,RU,67.41,light rain,58.9564,126.2925,Gostinitsa Tommot
133,Desesti,RO,77.88,overcast clouds,47.7667,23.85,Casa Calina
135,Tshikapa,CD,83.75,broken clouds,-6.4167,20.8,Tatem beach
137,Hithadhoo,MV,81.25,overcast clouds,-0.6,73.0833,Scoop Guest House
138,Marawi,PH,69.1,light rain,7.9986,124.2928,Derogongan Residence
140,Powell,US,84.29,clear sky,40.1578,-83.0752,The Brig
142,Saint-Francois,FR,71.04,clear sky,46.4154,3.9054,Manoir Du Bonheur
143,Port-Cartier,CA,65.08,broken clouds,50.0334,-66.8654,Le Q'Artier
144,Maruim,BR,78.76,overcast clouds,-10.7375,-37.0817,Pousada Acauã Do Posto Br
145,Castro,BR,66.87,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
151,Shimoda,JP,74.1,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
154,Paine,CL,72.84,scattered clouds,-33.8167,-70.75,Hotel El Almendro by DOT Light
157,Muroto,JP,77.36,overcast clouds,33.2833,134.15,Oota Ryokan
158,Hay River,CA,73.49,clear sky,60.8156,-115.7999,Ptarmigan Inn
159,Ornskoldsvik,SE,61.75,overcast clouds,63.2909,18.7153,ファーストホテル スタット
165,Dwarka,IN,81.82,moderate rain,22.2394,68.9678,Hotel Narayan Avezika Comfort
166,Bunia,CD,65.59,few clouds,1.5667,30.25,Gold Star International Hotel
167,Peniche,PT,70.09,clear sky,39.3558,-9.3811,Hotel Star inn Peniche
168,Santa Vitoria,BR,84.88,few clouds,-18.8386,-50.1214,Center Hotel
169,Gizo,SB,81.68,light rain,-8.103,156.8419,Imagination Island
171,Missoula,US,79.65,clear sky,47.0166,-113.8009,Gold Creek Cabin
174,Lasa,IT,66.99,overcast clouds,46.6166,10.7002,Pension Feldgärtenhof
175,Nabire,ID,74.19,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
178,Ashtabula,US,81.45,overcast clouds,41.7001,-80.7665,DFC Mobile Home Park & Sales
181,Avarua,CK,73.13,overcast clouds,-21.2078,-159.775,Paradise Inn
182,Talnakh,RU,67.21,overcast clouds,69.4865,88.3972,Talnakh Hotel
183,Atar,MR,83.35,moderate rain,20.5169,-13.0499,Oumou Elghoura
184,Half Moon Bay,US,83.53,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
188,Los Llanos De Aridane,ES,72.23,few clouds,28.6585,-17.9182,Valle Aridane
191,Mweka,CD,71.71,few clouds,-4.85,21.5667,Guest House Boshab
195,Palu,ID,74.53,broken clouds,-0.8917,119.8707,Hotel Santika Palu
197,Ochamchira,GE,64.27,clear sky,42.7121,41.4721,Resort on Papaskiri 76
198,Ambilobe,MG,65.35,few clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
202,Muros,ES,68.38,clear sky,42.7762,-9.0603,Apartment Av. Castelao
203,Miri,MY,78.94,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
204,Sao Jose Da Coroa Grande,BR,76.26,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
205,Nemuro,JP,60.06,overcast clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
207,Kotovo,RU,64.69,broken clouds,50.3211,44.8012,Voyazh
208,Kaya,BF,83.01,broken clouds,13.0917,-1.0844,Maison de l'appelé
209,Bambous Virieux,MU,70.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
210,Sioux Lookout,CA,63.73,overcast clouds,50.1001,-91.917,Knobby's Fly-In Camps
213,Luganville,VU,76.93,clear sky,-15.5333,167.1667,The Espiritu Hotel
215,Tacoronte,ES,80.92,few clouds,28.4769,-16.4102,Casa Laurel
216,Cervo,ES,67.96,clear sky,43.6702,-7.4101,Hotel Spa Galatea
219,Bereda,ES,61.27,clear sky,43.2686,-7.5406,Pazo de Verdes
220,Bani Walid,LY,78.39,clear sky,31.7566,13.9942,منزل مفتاح محمد الزلبي
221,Dawson Creek,CA,77.22,broken clouds,55.7666,-120.2362,Peace Villa Motel
222,Atambua,ID,64.24,overcast clouds,-9.1061,124.8925,Kost Alfa Flat
224,Gornoye Loo,RU,67.78,clear sky,43.7129,39.6049,«ВатерЛоо» гостиница
225,Porto Walter,BR,84.6,overcast clouds,-8.2686,-72.7439,Hotel Silva
226,Lianzhou,CN,77.58,clear sky,24.7811,112.3825,Qingcheng Tourism Industry
227,Morden,CA,74.08,overcast clouds,49.1919,-98.1014,Morden Motor Inn
228,Haines Junction,CA,62.55,overcast clouds,60.7522,-137.5108,Parkside Inn
229,Sao Filipe,CV,78.01,light rain,14.8961,-24.4956,Hotel Xaguate
230,Cidreira,BR,63.21,scattered clouds,-30.1811,-50.2056,Hotel Castelo
231,Axim,GH,75.43,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
234,Borgarnes,IS,62.82,overcast clouds,64.5383,-21.9206,Hotel Hafnarfjall
235,Liwale,TZ,64.47,scattered clouds,-9.7667,37.9333,Tumaini Tulivu Lodge
236,Kirakira,SB,78.03,scattered clouds,-10.4544,161.9205,SanBiz Lodge
237,Patiya,BD,75.49,overcast clouds,22.2931,91.9762,Sorry
242,Boralday,KZ,76.86,few clouds,43.3578,76.8594,"Zhetysu, Too Zhetysu"
245,Wewak,PG,79.36,scattered clouds,-3.5534,143.6268,In Wewak Boutique Hotel
246,Kholm-Zhirkovskiy,RU,62.4,clear sky,55.5189,33.4731,Gostinitsa Kholm
247,Brzesko,PL,69.58,moderate rain,49.9691,20.6061,Hotel Planeta
248,Vao,NC,74.17,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
249,Bonavista,CA,66.6,broken clouds,48.6499,-53.1147,Sweet Sharons bnb
251,Lashio,MM,67.73,overcast clouds,22.9333,97.75,Hotel CF Lashio - Burmese Only
252,Carutapera,BR,81.77,overcast clouds,-1.195,-46.02,Lidera
256,Muisne,EC,75.6,overcast clouds,0.6,-80.0333,Quinta Samay
258,Arshan,RU,62.98,scattered clouds,46.2732,44.22,Guest House The Green Village
259,Hambantota,LK,79.25,overcast clouds,6.1241,81.1185,Bungalow 63
260,Faanui,PF,79.47,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
261,Neyshabur,IR,82.69,clear sky,36.2133,58.7958,Amiran Hotel & Commercial Complex
262,Wanning,CN,79.27,clear sky,18.8003,110.3967,Paradise Hotel
265,Samarai,PG,79.3,broken clouds,-10.6167,150.6667,Nuli Sapi
266,Campbell River,CA,71.6,few clouds,50.0163,-125.2446,Anchor Inn & Suites
267,Sola,VU,79.97,clear sky,-13.8833,167.55,Leumerus Bungalows
268,Padang,ID,76.89,overcast clouds,-0.9492,100.3543,Mercure Padang
270,Puerto Ayacucho,VE,84.88,light rain,5.6639,-67.6236,Posada Turistica Manapiare
271,Vinh,VN,77.4,clear sky,18.6667,105.6667,Vuong Hoan 2
272,Hobyo,SO,76.42,few clouds,5.3505,48.5268,Iftin hotel hobyo
274,Khromtau,KZ,69.53,broken clouds,50.2503,58.4347,Придорожный сервис Кең Дала
277,Galle,LK,78.96,broken clouds,6.0367,80.217,Amangalla
279,Acajutla,SV,83.73,broken clouds,13.5928,-89.8275,Laureles
283,Dauphin,CA,66.34,overcast clouds,51.1494,-100.0502,Canway Inn & Suites
284,Karratha,AU,62.11,clear sky,-20.7377,116.8463,ibis Styles Karratha
285,Lorengau,PG,81.03,few clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
286,Kinsale,IE,62.28,overcast clouds,51.7075,-8.5306,Actons Hotel Kinsale
287,Kavieng,PG,81.72,clear sky,-2.5744,150.7967,Nusa Island Retreat
288,Watsa,CD,64.17,light rain,3.0372,29.5355,Hôtel Le Pacifique
292,Kihei,US,80.89,clear sky,20.785,-156.4656,Maui Sunset
294,Iwanai,JP,65.59,overcast clouds,42.9744,140.5089,いわない高原ホテル
296,Savannah Bight,HN,82.92,overcast clouds,16.45,-85.85,Villa on Dunbar Rock
298,Solone,UA,66.07,few clouds,48.2081,34.8721,"Канализация , слив"
299,Asosa,ET,61.72,light rain,10.0667,34.5333,Blendana Hotel Assosa
303,Corby,GB,71.83,overcast clouds,52.4964,-0.6894,Hampton by Hilton Corby/Kettering
